# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
gamma_ccdf_log;(reals y, reals alpha, reals beta);real;374
gamma_cdf;(reals y, reals alpha, reals beta);real;373
gamma_cdf_log;(reals y, reals alpha, reals beta);real;373
gamma_log;(reals y, reals alpha, reals beta);real;373
gamma_p;(real a, real z);real;310
gamma_q;(real a, real z);real;310
gamma_rng;(real alpha, real beta);real;374
gaussian_dlm_obs;~;real;391
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, matrix V matrix W, vector m0, matrix C0);real;392
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, vector V matrix W, vector m0, matrix C0);real;392
get_lp;();real;295
gumbel;~;real;367
gumbel_ccdf_log;(reals y, reals mu, reals beta);real;368
gumbel_cdf;(reals y, reals mu, reals beta);real;367
gumbel_cdf_log;(reals y, reals mu, reals beta);real;368
gumbel_log;(reals y, reals mu, reals beta);real;367
gumbel_rng;(real mu, real beta);real;368
head;(T[] sv, int n);T[];335
head;(row_vector rv, int n);row_vector;335
head;(vector v, int n);vector;334
hypergeometric;~;real;351
hypergeometric_log;(int n, int N, int a, int b);real;351
hypergeometric_rng;(int N, real a, real b);int;351
hypot;(real x, real y);real;305
if_else;(int cond, real x, real y);real;298
increment_log_prob;(T lp);void;290
int_step;(int x);int;293
int_step;(real x);int;293
inv;(real x);real;304
inv_chi_square;~;real;371
inv_chi_square_ccdf_log;(reals y, reals nu);real;371
inv_chi_square_cdf;(reals y, reals nu);real;371
inv_chi_square_cdf_log;(reals y, reals nu);real;371
inv_chi_square_log;(reals y, reals nu);real;371
inv_chi_square_rng;(real nu);real;371
inv_cloglog;(real y);real;307
inv_gamma;~;real;374
inv_gamma_ccdf_log;(reals y, reals alpha, reals beta);real;374
inv_gamma_cdf;(reals y, reals alpha, reals beta);real;374
inv_gamma_cdf_log;(reals y, reals alpha, reals beta);real;374
inv_gamma_log;(reals y, reals alpha, reals beta);real;374
inv_gamma_rng;(real alpha, real beta);real;374
inv_logit;(real y);real;307
inv_sqrt;(real x);real;304
inv_square;(real x);real;304
inv_wishart;~;real;398
inv_wishart_log;(matrix W, real nu, matrix Sigma);real;398
inv_wishart_rng;(real nu, matrix Sigma);matrix;398
inverse;(matrix A);matrix;339
inverse_spd;(matrix A);matrix;339
is_inf;(real x);int;299
is_nan;(real x);int;299
lbeta;(real alpha, real beta);real;309
lgamma;(real x);real;309
lkj_corr;~;real;394
lkj_corr_cholesky;~;real;396
lkj_corr_cholesky_log;(matrix L, real eta);real;396
lkj_corr_cholesky_rng;(int K, real eta);matrix;396
lkj_corr_log;(matrix y, real eta);real;395
lkj_corr_rng;(int K, real eta);matrix;395
lmgamma;(int n, real x);real;310
log10;();real;294
log10;(real x);real;304
log1m;(real x);real;314
log1m_exp;(real x);real;314
log1m_inv_logit;(real x);real;315
log1p;(real x);real;313
log1p_exp;(real x);real;314
log2;();real;294
log2;(real x);real;304
log;(matrix x);matrix;328
log;(real x);real;303
log;(row_vector x);row_vector;327
log;(vector x);vector;327
log_determinant;(matrix A);real;339
log_diff_exp;(real x, real y);real;314
log_falling_factorial;(real x, real n);real;312
log_inv_logit;(real x);real;315
log_mix;(real theta, real lp1, real lp2);real;315
log_rising_factorial;(real x, real n);real;313
log_softmax;(vector x);vector;337
log_sum_exp;(matrix x);real;331
log_sum_exp;(real x, real y);real;314
log_sum_exp;(real x[]);real;317
log_sum_exp;(row_vector x);real;331
log_sum_exp;(vector x);real;331
logistic;~;real;366
logistic_ccdf_log;(reals y, reals mu, reals sigma);real;367
logistic_cdf;(reals y, reals mu, reals sigma);real;367
logistic_cdf_log;(reals y, reals mu, reals sigma);real;367
logistic_log;(reals y, reals mu, reals sigma);real;367
logistic_rng;(real mu, real sigma);real;367
logit;(real x);real;307
lognormal;~;real;369
lognormal_ccdf_log;(reals y, reals mu, reals sigma);real;369
lognormal_cdf;(reals y, reals mu, reals sigma);real;369
lognormal_cdf_log;(reals y, reals mu, reals sigma);real;369
lognormal_log;(reals y, reals mu, reals sigma);real;369
lognormal_rng;(real mu, real beta);real;369
machine_precision;();real;294
max;(int x, int y);int;293
max;(int x[]);int;316
max;(matrix x);real;331
max;(real x[]);real;316
max;(row_vector x);real;331
max;(vector x);real;331
mdivide_left_tri_low;(matrix A, matrix B);matrix;338
mdivide_left_tri_low;(matrix A, vector B);vector;338
mdivide_right_tri_low;(matrix B, matrix A);matrix;338
mdivide_right_tri_low;(row_vector B, matrix A);row_vector;338
mean;(matrix x);real;332
mean;(real x[]);real;317
mean;(row_vector x);real;332
mean;(vector x);real;332
min;(int x, int y);int;293
min;(int x[]);int;316
min;(matrix x);real;331
min;(real x[]);real;316
min;(row_vector x);real;331
min;(vector x);real;331
modified_bessel_first_kind;(int v, real z);real;311
modified_bessel_second_kind;(int v, real z);real;312
multi_gp;~;real;389
multi_gp_cholesky;~;real;390
multi_gp_cholesky_log;(matrix y, matrix L, vector w);real;390
multi_gp_log;(matrix y, matrix Sigma, vector w);real;389
multi_normal;~;real;386
multi_normal_cholesky;~;real;388
multi_normal_cholesky_log;(row_vectors y, row_vectors mu, matrix L);real;388
multi_normal_cholesky_log;(row_vectors y, vectors mu, matrix L);real;388
multi_normal_cholesky_log;(vectors y, row_vectors mu, matrix L);real;388
multi_normal_cholesky_log;(vectors y, vectors mu, matrix L);real;388
multi_normal_cholesky_rng;(vector mu, matrix L);vector;388
multi_normal_log;(row_vectors y, row_vectors mu, matrix Sigma);real;387
multi_normal_log;(row_vectors y, vectors mu, matrix Sigma);real;386
